# path	class	soname	elf_type
usr/lib/libImlib2.so.1.6.1	library	libImlib2.so.1	DYN (Shared object file)
usr/lib/libSDL2-2.0.so.0.14.0	library	libSDL2-2.0.so.0	DYN (Shared object file)
usr/lib/libadplug.so	plugin	-	DYN (Shared object file)
usr/lib/libanl-2.31.so	library	libanl.so.1	DYN (Shared object file)
usr/lib/libao.so.4.1.0	library	libao.so.4	DYN (Shared object file)
usr/lib/libasound.so.2.0.0	library	libasound.so.2	DYN (Shared object file)
usr/lib/libatomic.so.1.2.0	library	libatomic.so.1	DYN (Shared object file)
usr/lib/libatopology.so.2.0.0	library	libatopology.so.2	DYN (Shared object file)
usr/lib/libbinio.so	plugin	-	DYN (Shared object file)
usr/lib/libblkid.so.1.1.0	library	libblkid.so.1	DYN (Shared object file)
usr/lib/libbluetooth.so.3.19.5	library	libbluetooth.so.3	DYN (Shared object file)
usr/lib/libbz2.so.1.0.8	library	libbz2.so.1.0	DYN (Shared object file)
usr/lib/libc-2.31.so	library	libc.so.6	DYN (Shared object file)
usr/lib/libcap-ng.so.0.0.0	library	libcap-ng.so.0	DYN (Shared object file)
usr/lib/libcap.so.2.48	library	libcap.so.2	DYN (Shared object file)
usr/lib/libcmocka.so.0.7.0	library	libcmocka.so.0	DYN (Shared object file)
usr/lib/libcom_err.so.2.1	library	libcom_err.so.2	DYN (Shared object file)
usr/lib/libcrypt-2.31.so	library	libcrypt.so.1	DYN (Shared object file)
usr/lib/libcrypto.so.1.1	library	libcrypto.so.1.1	DYN (Shared object file)
usr/lib/libcurl.so.4.7.0	library	libcurl.so.4	DYN (Shared object file)
usr/lib/libdaemon.so.0.5.0	library	libdaemon.so.0	DYN (Shared object file)
usr/lib/libdbus-1.so.3.19.13	library	libdbus-1.so.3	DYN (Shared object file)
usr/lib/libdbus-c++-1.so.0.0.0	library	libdbus-c++-1.so.0	DYN (Shared object file)
usr/lib/libdbus-c++-glib-1.so.0.0.0	library	libdbus-c++-glib-1.so.0	DYN (Shared object file)
usr/lib/libdbus-glib-1.so.2.3.4	library	libdbus-glib-1.so.2	DYN (Shared object file)
usr/lib/libdcerpc-binding.so.0.0.1	library	libdcerpc-binding.so.0	DYN (Shared object file)
usr/lib/libdcerpc-samr.so.0.0.1	library	libdcerpc-samr.so.0	DYN (Shared object file)
usr/lib/libdcerpc-server-core.so.0.0.1	library	libdcerpc-server-core.so.0	DYN (Shared object file)
usr/lib/libdcerpc.so.0.0.1	library	libdcerpc.so.0	DYN (Shared object file)
usr/lib/libdl-2.31.so	library	libdl.so.2	DYN (Shared object file)
usr/lib/libdrop_ambient.so.0.0.0	library	libdrop_ambient.so.0	DYN (Shared object file)
usr/lib/libe2p.so.2.3	library	libe2p.so.2	DYN (Shared object file)
usr/lib/libev.so.4.0.0	library	libev.so.4	DYN (Shared object file)
usr/lib/libevdev.so.2.3.0	library	libevdev.so.2	DYN (Shared object file)
usr/lib/libevent-2.1.so.7.0.1	library	libevent-2.1.so.7	DYN (Shared object file)
usr/lib/libevent_core-2.1.so.7.0.1	library	libevent_core-2.1.so.7	DYN (Shared object file)
usr/lib/libevent_extra-2.1.so.7.0.1	library	libevent_extra-2.1.so.7	DYN (Shared object file)
usr/lib/libevent_openssl-2.1.so.7.0.1	library	libevent_openssl-2.1.so.7	DYN (Shared object file)
usr/lib/libevent_pthreads-2.1.so.7.0.1	library	libevent_pthreads-2.1.so.7	DYN (Shared object file)
usr/lib/libexpat.so.1.8.1	library	libexpat.so.1	DYN (Shared object file)
usr/lib/libext2fs.so.2.4	library	libext2fs.so.2	DYN (Shared object file)
usr/lib/libfdisk.so.1.1.0	library	libfdisk.so.1	DYN (Shared object file)
usr/lib/libfdt-1.6.0.so	library	libfdt.so.1	DYN (Shared object file)
usr/lib/libffi.so.7.1.0	library	libffi.so.7	DYN (Shared object file)
usr/lib/libfl.so.2.0.0	library	libfl.so.2	DYN (Shared object file)
usr/lib/libfluidsynth.so.3.0.0	library	libfluidsynth.so.3	DYN (Shared object file)
usr/lib/libformw.so.6.1	library	libformw.so.6	DYN (Shared object file)
usr/lib/libfreetype.so.6.17.4	library	libfreetype.so.6	DYN (Shared object file)
usr/lib/libgcc_s.so.1	library	libgcc_s.so.1	DYN (Shared object file)
usr/lib/libgcrypt.so.20.3.3	library	libgcrypt.so.20	DYN (Shared object file)
usr/lib/libgfortran.so.5.0.0	library	libgfortran.so.5	DYN (Shared object file)
usr/lib/libgif.so.7.2.0	library	libgif.so.7	DYN (Shared object file)
usr/lib/libgio-2.0.so.0.6600.8	library	libgio-2.0.so.0	DYN (Shared object file)
usr/lib/libgirepository-1.0.so.1.0.0	library	libgirepository-1.0.so.1	DYN (Shared object file)
usr/lib/libglib-2.0.so.0.6600.8	library	libglib-2.0.so.0	DYN (Shared object file)
usr/lib/libgmodule-2.0.so.0.6600.8	library	libgmodule-2.0.so.0	DYN (Shared object file)
usr/lib/libgmp.so.10.4.1	library	libgmp.so.10	DYN (Shared object file)
usr/lib/libgmpxx.so.4.6.1	library	libgmpxx.so.4	DYN (Shared object file)
usr/lib/libgnutls.so.30.29.1	library	libgnutls.so.30	DYN (Shared object file)
